,hhid,year,femaleh,hhsize,f0t6,m0t6,f7t12,m7t12,f13t15,f16t18,f19t60,m13t15,m16t18,m19t60,f61,m61,rural,posttreatment,ptreat,Primary,Junior secondary,Senior secondary,Higher,Quintile 2,Quintile 3,Quintile 4,Quintile 5,Sumatra,Java and Bali,Kalimantan,Sulawesi,%work10t12,%work13t15,%work16t18,%work10t18_x,Childlabour_x,%work10t18_y,Childlabour_y
79,120918000308.0,2005,0,4,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,1,0.0,0.41363412,0,1,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
80,120918000309.0,2005,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1,0.0,0.28416592,1,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
81,120918000310.0,2005,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.6666667,0.0,0.0,0.33333334,0.0,0.0,1,0.0,0.22754851,1,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
82,120918000314.0,2005,0,4,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,1,0.0,0.13714348,0,0,1,0,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
83,120918000316.0,2005,0,6,0.0,0.0,0.0,0.16666667,0.0,0.0,0.16666667,0.0,0.0,0.6666667,0.0,0.0,1,0.0,0.3705118,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
84,120918001501.0,2005,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.2,0.2,0.0,0.0,0,0.0,0.13419893,0,1,0,0,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
85,120918001503.0,2005,0,5,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.6,0.0,0.0,0,0.0,0.09159296,0,0,1,0,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
86,120918001504.0,2005,0,5,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0,0.0,0.36619229999999997,0,1,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
87,120918001506.0,2005,0,5,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0,0.0,0.36106986,0,1,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
88,120918001507.0,2005,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0,0.0,0.6666667,0.0,0.0,0,0.0,0.39320067,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
89,120918001508.0,2005,0,7,0.2857143,0.0,0.0,0.0,0.0,0.0,0.2857143,0.0,0.0,0.42857143,0.0,0.0,0,0.0,0.33146784,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
90,120918001509.0,2005,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0,0.0,0.33333334,0.33333334,0.0,0,0.0,0.36214240000000003,0,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
91,120918001510.0,2005,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.20444188,0,1,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
92,120918001511.0,2005,0,5,0.0,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.2,0.2,0.0,0.0,0,0.0,0.12944679,0,0,1,0,1,0,0,0,1,0,0,0,0.0,0.0,0.2,0.2,1,0.0,0
93,120918001512.0,2005,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0,0.0,0.15894358,1,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
94,120918001513.0,2005,0,6,0.16666667,0.0,0.33333334,0.0,0.0,0.0,0.33333334,0.0,0.0,0.16666667,0.0,0.16666667,0,0.0,0.40423426,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
95,121305001204.0,2005,0,5,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.4,0.0,0.0,1,0.0,0.12510724,0,1,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
96,121305001210.0,2005,0,7,0.14285715,0.0,0.14285715,0.0,0.0,0.0,0.14285715,0.0,0.14285715,0.42857143,0.0,0.0,1,0.0,0.25987208,1,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
97,121305001212.0,2005,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.25,1,0.0,0.26511225,0,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
98,121307000501.0,2005,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.34113753,0,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
99,121307000505.0,2005,0,6,0.0,0.0,0.16666667,0.0,0.0,0.16666667,0.16666667,0.16666667,0.0,0.33333334,0.0,0.0,0,0.0,0.04856315,0,0,1,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
